complaint_id,complaint_officer_number,officer_days_on_force_at_incident,allegation_record_identity,fado_type,allegation,victim_age_range_at_incident,victim_gender,victim_race_legacy,investigator_recommendation,ccrb_allegation_disposition,tax_id,officer_rank_at_incident,officer_command_at_incident,victim_race_ethnicity,nypd_allegation_disposition,officer_years_on_force_at_incident
200301228,2,3457,350622,Force,Gun Pointed,24 < Age <= 29,Male/Man,Black,Unsubstantiated,Unsubstantiated,914404.0,Sergeant,048 PCT,Unknown,Unknown,9.47
200207763,1,0,306210,Force,Physical force,0,Unknown,Unknown,Complainant Unavailable,Complainant Unavailable,0,Unknown,Unknown,Unknown,Unknown,0.0
202005853,2,1414,1107142,Force,Physical force,29 < Age <= 34,Male/Man,Black,Exonerated,Exonerated,962678.0,Police Officer,PSA 8,Unknown,Unknown,3.87
201001199,1,0,679588,Abuse of Authority,Property damaged,0,Female/Woman,Unknown,Complainant Uncooperative,Complainant Uncooperative,0,Unknown,Unknown,Unknown,Unknown,0.0
202300331,2,5414,1237091,Force,Gun Pointed,17 < Age <= 20,Male/Man,Unknown,Unfounded,Unfounded,945563.0,Sergeant,067 PCT,Black and/or African American (R),Unknown,14.83
200505984,1,0,401578,Offensive Language,Other,29 < Age <= 34,Male/Man,Black,Complainant Uncooperative,Complainant Uncooperative,0,Unknown,110 PCT,Unknown,Unknown,0.0
200713448,1,2266,541745,Abuse of Authority,Threat of arrest,54 < Age <= 59,Male/Man,White,Unfounded,Unfounded,927834.0,Police Officer,104 PCT,Unknown,Unknown,6.21
200801398,1,0,552441,Abuse of Authority,Search (of person),0,Female/Woman,Unknown,Complainant Unavailable,Complainant Unavailable,0,Unknown,Unknown,Unknown,Unknown,0.0
200105489,1,1820,309264,Force,Physical force,14 < Age <= 17,Male/Man,Unknown,Unsubstantiated,Substantiated (Charges),917897.0,Police Officer,023 PCT,Unknown,No Disciplinary Action-SOL,4.99
200208198,1,0,308092,Abuse of Authority,Property damaged,39 < Age <= 44,Male/Man,Black,Complainant Unavailable,Complainant Uncooperative,0,Unknown,Unknown,Unknown,Unknown,0.0
201211099,2,0,810131,Abuse of Authority,Search (of person),20 < Age <= 24,Male/Man,Hispanic,Complainant Uncooperative,Complainant Uncooperative,0,Unknown,Unknown,Unknown,Unknown,0.0
